id,author,desc,sales,average,highest_price,lowest_price
CAT_000165_e170_d1,La,"L. a. s. à Richelieu, 1629, 2 p. in-fol. cachets. 12","[{'date': '1887-11', 'price': 20.0}, {'date': '1893-08', 'price': None}]",20.0,20.0,20.0
CAT_000112_e154_d1,Lassailly,"L. a. s. à Alfred de Vigny; 14 février 1835, 1 p. in-8.","[{'date': '1893-02', 'price': 12.0}, {'date': '1887-11', 'price': 20.0}]",16.0,20.0,12.0
CAT_000112_e168_d1,Lorraine,"Pièce sig. sur vélin; 1539, in-8 obl.","[{'date': '1893-02', 'price': 10.0}, {'date': '1887-11', 'price': 12.0}]",11.0,12.0,10.0
CAT_000062_e116_d1,Murat,"Let. sig. avec plusieurs mots aut. (au général Cavaignac); camp de Piale, 11 juillet 1810, 2 p. in-4.","[{'date': '1887-11', 'price': 15.0}, {'date': '1882-10', 'price': 23.0}]",19.0,23.0,15.0
CAT_000222_e200_d1,Naudé,"L. a. s. en italien, au cardinal de Bagny; Venise, 9 avril 1633, 3 p. 1/2 in-fol.","[{'date': '1887-11', 'price': 40.0}, {'date': '1894-12', 'price': 30.0}]",35.0,40.0,30.0
CAT_000200_e203_d1,Ommeganck,"L. a. s. à M. J.-B. Dejonghe, dessinateur à Courtrai; Anvers, 31 décembre 1819, 1 p. in-4. Avec traduction française.","[{'date': '1887-11', 'price': 25.0}, {'date': '1893-02', 'price': 12.0}]",18.5,25.0,12.0
CAT_000112_e206_d1,Roger,"Pièce sig. sur vélin; 22 juillet 1617, 1 p. in-8 obl.","[{'date': '1895-05', 'price': 15.0}, {'date': '1887-11', 'price': 20.0}]",17.5,20.0,15.0
CAT_000233_e245_d1,Rousseau,"L. a. s. à M. de Luc père, à Genève; Paris, 28 déc. 1754, 3 p. in-4.","[{'date': '1887-11', 'price': 200.0}, {'date': '1893-02', 'price': 120.0}]",160.0,200.0,120.0
CAT_000050_e116_d1,Toulouse,"L. aut. au cardinal de Fleury, 12 juin 1726, 1 p. pet. in-4. Cachet à ses armes.","[{'date': '1896-07', 'price': 30.0}, {'date': '1887-11', 'price': 50.0}, {'date': '1880-05', 'price': 20.0}]",33.33,50.0,20.0
CAT_000125_e3_d1,Alexandre,"Let. sig. avec la sous: cript. aut. ; Rome, 16 déc. 1651, 1 p. in-4. L'adresse a été coupée dans la marge du bas. 8 »","[{'date': '1893-11', 'price': 8.0}, {'date': '1889-10', 'price': None}]",8.0,8.0,8.0
CAT_000238_e17_d1,Baner,"Let. sig. au prince d'Anhalt; Erfürth, 5 déc. 1634, 2 p. in-fol., cachet.","[{'date': '1889-10', 'price': 25.0}, {'date': '1896-05', 'price': 20.0}]",22.5,25.0,20.0
CAT_000088_e31_d1,Chifflet,"L. a. s.; Bruxelles, 12 février 1632, 1 p. in-fol. Rare. 30 v","[{'date': '1889-10', 'price': 30.0}, {'date': '1885-12', 'price': None}]",30.0,30.0,30.0
CAT_000158_e143_d1,Janin,"6 pièces aut.; 1831, 6 p. in-18 obl.","[{'date': '1889-10', 'price': 18.0}, {'date': '1893-05', 'price': 12.0}]",15.0,18.0,12.0
CAT_000198_e160_d1,Lévis,"L. a. s.; 20 mai 1818, 1 p. in-4.","[{'date': '1889-10', 'price': 20.0}, {'date': '1893-02', 'price': 10.0}]",15.0,20.0,10.0
CAT_000330_e184_d1,Mario,"L. a. s., en français : 1851, 2 p. 1/2 in-8.","[{'date': '1889-10', 'price': 12.0}, {'date': '1893-02', 'price': None}]",12.0,12.0,12.0
